Index_Name,Date,Value_Without_Dividends__USD_,Value_With_Dividends__USD_,Value_With_Dividends_Net_of_Tax__USD_,Value_Without_Dividends__GBP_,Value_With_Dividends__GBP_,Value_With_Dividends_Net_of_Tax__GBP_,Value_Without_Dividends__EUR_,Value_With_Dividends__EUR_,Value_With_Dividends_Net_of_Tax__EUR_,Value_Without_Dividends__AUD_,Value_With_Dividends__AUD_,Value_With_Dividends_Net_of_Tax__AUD_,Value_Without_Dividends__JPY_,Value_With_Dividends__JPY_,Value_With_Dividends_Net_of_Tax__JPY_
Russell RAFI Europe,12/29/2023,1415.657043,2299.910723,,1729.094177,2809.128283,,1674.080155,2719.751170,,1998.018763,3246.029679,,,,
Russell RAFI Europe,12/28/2023,1419.871525,2306.757672,,1731.254047,2812.637260,,1670.143641,2713.355814,,1993.159185,3238.134691,,,,
Russell RAFI Europe,12/27/2023,1423.443692,2312.361218,,1733.234379,2815.611170,,1674.420839,2720.069528,,2001.382631,3251.213662,,,,
Russell RAFI Europe,12/26/2023,1410.289166,2290.916157,,1728.367731,2807.612550,,1670.757345,2714.028504,,1995.120926,3240.934467,,,,
Russell RAFI Europe,12/25/2023,1409.694603,2289.950331,,1726.144572,2804.001183,,1672.176080,2716.333140,,1995.159051,3240.996398,,,,
Russell RAFI Europe,12/22/2023,1410.090108,2290.592802,,1726.628861,2804.787876,,1672.645227,2717.095238,,1995.718815,3241.905696,,,,
Russell RAFI Europe,12/21/2023,1403.416300,2279.751667,,1726.808490,2805.079672,,1668.136999,2709.771936,,1991.688268,3235.358354,,,,
Russell RAFI Europe,12/20/2023,1405.115164,2281.926228,,1727.124548,2804.873867,,1672.667597,2716.435035,,1998.369267,3245.378999,,,,
Russell RAFI Europe,12/19/2023,1401.632661,2276.140095,,1713.174180,2782.058773,,1666.547667,2706.341019,,1995.774267,3240.978865,,,,
Russell RAFI Europe,12/18/2023,1387.902610,2253.830330,,1709.273281,2775.707700,,1661.032552,2697.369050,,1996.891319,3242.773800,,,,
Russell RAFI Europe,12/15/2023,1390.106719,2257.386930,,1704.371131,2767.719241,,1663.594208,2701.501812,,1991.730821,3234.361117,,,,
Russell RAFI Europe,12/14/2023,1400.475616,2274.224925,,1708.875836,2775.034408,,1663.960295,2702.096298,,2013.026319,3268.942764,,,,
Russell RAFI Europe,12/13/2023,1357.825695,2204.628649,,1687.918996,2740.583412,,1643.177136,2667.938457,,1985.957385,3224.492336,,,,
Russell RAFI Europe,12/12/2023,1360.435154,2208.865487,,1686.181888,2737.762963,,1648.320081,2676.288780,,1997.205303,3242.754976,,,,
Russell RAFI Europe,12/11/2023,1361.833623,2210.464321,,1689.596402,2742.473456,,1655.696511,2687.448746,,1998.040028,3243.124651,,,,
Russell RAFI Europe,12/08/2023,1363.390093,2212.957187,,1692.336563,2746.879548,,1653.894536,2684.483202,,1993.490369,3235.690844,,,,
Russell RAFI Europe,12/07/2023,1356.682312,2202.047619,,1679.858953,2726.599569,,1643.315832,2667.285982,,1982.177813,3217.297000,,,,
Russell RAFI Europe,12/06/2023,1359.917751,2207.237136,,1681.324738,2728.902094,,1646.242621,2671.961480,,1990.226266,3230.269859,,,,
Russell RAFI Europe,12/05/2023,1355.289228,2199.647308,,1673.144525,2715.529477,,1638.437993,2659.200446,,1988.892795,3227.991923,,,,
Russell RAFI Europe,12/04/2023,1351.660772,2193.748625,,1668.929735,2708.676902,,1632.540632,2649.617302,,1967.676687,3193.543911,,,,
Russell RAFI Europe,12/01/2023,1356.842893,2201.714447,,1672.344389,2713.670698,,1635.774746,2654.330068,,1969.118676,3195.238784,,,,
Russell RAFI Europe,11/30/2023,1351.848267,2193.604170,,1662.700567,2698.014995,,1618.476076,2626.253223,,1963.497595,3186.109429,,,,
Russell RAFI Europe,11/29/2023,1353.863054,2196.678946,,1660.195241,2693.711096,,1611.436139,2614.598151,,1969.096761,3194.912057,,,,
Russell RAFI Europe,11/28/2023,1350.055835,2190.500217,,1657.484625,2689.311313,,1606.026585,2605.819323,,1957.646434,3176.331546,,,,
Russell RAFI Europe,11/27/2023,1343.980229,2180.612380,,1659.907076,2693.204738,,1605.818374,2605.445640,,1961.239136,3182.117006,,,,
Russell RAFI Europe,11/24/2023,1348.594907,2188.099712,,1664.748196,2701.059472,,1610.301081,2612.718847,,1971.857485,3199.345313,,,,
Russell RAFI Europe,11/23/2023,1338.818159,2172.111018,,1662.565098,2697.361059,,1603.022931,2600.759293,,1965.020862,3188.068099,,,,
Russell RAFI Europe,11/22/2023,1329.485890,2155.440753,,1661.310890,2693.414969,,1598.221391,2591.130561,,1959.386332,3176.672415,,,,
Russell RAFI Europe,11/21/2023,1336.717741,2167.155401,,1660.089166,2691.421750,,1596.921891,2589.011722,,1961.938019,3180.794601,,,,
Russell RAFI Europe,11/20/2023,1341.022517,2174.127835,,1671.033208,2709.156456,,1601.332392,2596.154264,,1972.615465,3198.095583,,,,
Russell RAFI Europe,11/17/2023,1332.937101,2159.840365,,1669.173352,2704.664742,,1599.279534,2591.411469,,1974.140234,3198.821430,,,,
Russell RAFI Europe,11/16/2023,1317.604773,2134.930301,,1649.111321,2672.074207,,1582.336910,2563.878853,,1957.151065,3171.194578,,,,
Russell RAFI Europe,11/15/2023,1328.183590,2150.712867,,1661.950969,2691.178660,,1596.802798,2585.684954,,1959.866421,3173.589826,,,,
Russell RAFI Europe,11/14/2023,1319.397744,2136.486045,,1649.234283,2670.586672,,1590.338299,2575.217062,,1961.326871,3175.954717,,,,
Russell RAFI Europe,11/13/2023,1284.524284,2079.835387,,1632.109799,2642.627903,,1569.593503,2541.404745,,1939.422651,3140.213003,,,,
Russell RAFI Europe,11/10/2023,1271.483021,2058.571706,,1623.222276,2628.048819,,1556.570108,2520.136824,,1928.500438,3122.303933,,,,
Russell RAFI Europe,11/09/2023,1287.433065,2084.362236,,1631.478856,2641.374538,,1569.477555,2540.994041,,1929.896550,3124.514662,,,,
Russell RAFI Europe,11/08/2023,1276.054901,2064.903403,,1616.928464,2616.502695,,1556.914379,2519.388309,,1915.523811,3099.687664,,,,
Russell RAFI Europe,11/07/2023,1273.377776,2060.571298,,1612.093080,2608.678109,,1556.774218,2519.161502,,1909.421715,3089.813294,,,,
Russell RAFI Europe,11/06/2023,1287.281568,2083.065961,,1617.529906,2617.470467,,1565.057261,2532.559766,,1906.522321,3085.115059,,,,
Russell RAFI Europe,11/03/2023,1289.024306,2085.876257,,1622.141528,2624.920634,,1568.782142,2538.575423,,1908.516384,3088.327345,,,,
Russell RAFI Europe,11/02/2023,1272.433596,2058.943529,,1627.504944,2633.489701,,1565.362217,2532.935641,,1908.303051,3087.853252,,,,
Russell RAFI Europe,11/01/2023,1242.305064,2010.133802,,1595.456535,2581.556819,,1540.045525,2491.898050,,1880.395333,3042.607109,,,,
Russell RAFI Europe,10/31/2023,1239.867573,2006.125064,,1590.948293,2574.179143,,1532.297897,2479.281888,,1885.894503,3051.406711,,,,
Russell RAFI Europe,10/30/2023,1240.753034,2006.858410,,1589.333975,2570.671332,,1526.244696,2468.627455,,1875.099016,3032.882554,,,,
Russell RAFI Europe,10/27/2023,1232.052499,1992.741515,,1579.618546,2554.900425,,1521.344217,2460.646589,,1868.400599,3021.981159,,,,
Russell RAFI Europe,10/26/2023,1234.126855,1996.089818,,1584.430755,2562.675048,,1529.109151,2473.197301,,1880.429568,3041.426656,,,,
Russell RAFI Europe,10/25/2023,1241.751743,2008.388483,,1592.119527,2575.067472,,1532.234608,2478.210607,,1887.865900,3053.402705,,,,
Russell RAFI Europe,10/24/2023,1245.440034,2014.053798,,1592.324842,2575.015904,,1534.973283,2482.270270,,1886.326433,3050.458321,,,,
Russell RAFI Europe,10/23/2023,1245.879439,2014.764378,,1588.907351,2569.489333,,1531.108874,2476.020970,,1897.136266,3067.939359,,,,
Russell RAFI Europe,10/20/2023,1243.695715,2011.165604,,1593.890132,2577.460847,,1534.343465,2481.168638,,1895.009565,3064.397515,,,,
Russell RAFI Europe,10/19/2023,1259.695920,2037.012469,,1615.259772,2611.982974,,1557.023840,2517.811581,,1920.908541,3106.237456,,,,
Russell RAFI Europe,10/18/2023,1271.520929,2055.792805,,1630.019821,2635.413184,,1576.113919,2548.258215,,1930.382062,3121.038326,,,,
Russell RAFI Europe,10/17/2023,1287.518462,2081.657587,,1645.785270,2660.902734,,1590.209642,2571.048156,,1948.219467,3149.877811,,,,
Russell RAFI Europe,10/16/2023,1284.332601,2076.503750,,1640.568106,2652.463872,,1590.334650,2571.246624,,1953.219325,3157.957097,,,,
Russell RAFI Europe,10/13/2023,1273.913253,2059.650142,,1634.162995,2642.098304,,1584.341168,2561.546874,,1949.069485,3151.235951,,,,
Russell RAFI Europe,10/12/2023,1290.092360,2085.786226,,1644.552562,2658.867836,,1596.558676,2581.272628,,1959.503306,3168.071630,,,,
Russell RAFI Europe,10/11/2023,1299.156743,2099.973296,,1643.059276,2655.861675,,1597.485117,2582.195031,,1949.898735,3151.840835,,,,
Russell RAFI Europe,10/10/2023,1294.989029,2093.236551,,1644.869345,2658.787494,,1596.267072,2580.226168,,1944.855840,3143.689436,,,,
Russell RAFI Europe,10/09/2023,1265.042959,2044.831347,,1612.950826,2607.193999,,1567.043271,2532.988449,,1910.608097,3088.330955,,,,
Russell RAFI Europe,10/06/2023,1264.497818,2043.559651,,1615.298004,2610.489143,,1567.408420,2533.094607,,1917.905749,3099.534651,,,,
Russell RAFI Europe,10/05/2023,1254.004798,2026.594467,,1605.780317,2595.098130,,1555.582672,2513.973823,,1901.990638,3073.802994,,,,
Russell RAFI Europe,10/04/2023,1246.074796,2013.602274,,1601.420631,2587.825573,,1551.343695,2506.903440,,1901.944639,3073.459203,,,,
Russell RAFI Europe,10/03/2023,1250.454261,2020.672338,,1611.971861,2604.866927,,1559.322483,2519.788132,,1910.445962,3087.186335,,,,
Russell RAFI Europe,10/02/2023,1268.135236,2049.243919,,1629.032571,2632.436192,,1578.131773,2550.183016,,1916.781401,3097.424091,,,,
Russell RAFI Europe,09/29/2023,1293.151728,2089.656765,,1649.668032,2665.766043,,1595.507876,2578.246430,,1929.608607,3118.133467,,,,
Russell RAFI Europe,09/28/2023,1287.255274,2079.919349,,1643.222989,2655.084317,,1591.916525,2572.184438,,1933.542566,3124.176438,,,,
Russell RAFI Europe,09/27/2023,1276.179996,2061.084996,,1637.475465,2644.592551,,1585.952330,2561.380496,,1927.277362,3112.634946,,,,
Russell RAFI Europe,09/26/2023,1286.717913,2078.104180,,1646.383879,2658.980019,,1588.094738,2564.840577,,1931.229348,3119.017572,,,,
Russell RAFI Europe,09/25/2023,1293.092994,2088.400207,,1650.539710,2665.691862,,1596.943738,2579.132087,,1944.130561,3139.853580,,,,
Russell RAFI Europe,09/22/2023,1310.837223,2117.019815,,1664.049180,2687.461896,,1606.630252,2594.729552,,1954.030501,3155.785646,,,,
Russell RAFI Europe,09/21/2023,1315.746175,2124.932138,,1667.358190,2692.786094,,1612.344360,2603.938671,,1973.874867,3187.811008,,,,
Russell RAFI Europe,09/20/2023,1336.868254,2158.944737,,1678.821799,2711.174774,,1629.134621,2630.933605,,1981.486084,3199.955521,,,,
Russell RAFI Europe,09/19/2023,1322.480470,2134.981830,,1660.352076,2680.433922,,1616.048733,2608.911633,,1969.253083,3179.116552,,,,
Russell RAFI Europe,09/18/2023,1316.996508,2126.125670,,1656.405362,2674.058695,,1611.533321,2601.618411,,1972.524266,3184.393014,,,,
Russell RAFI Europe,09/15/2023,1329.099896,2145.387041,,1669.470331,2694.801216,,1627.715793,2627.402486,,1988.024023,3208.999558,,,,
Russell RAFI Europe,09/14/2023,1325.620803,2139.771211,,1662.217275,2683.093584,,1623.607250,2620.770618,,1980.359464,3196.627692,,,,
