Index_Name,Date,Value_Without_Dividends__USD_,Value_With_Dividends__USD_,Value_With_Dividends_Net_of_Tax__USD_,Value_Without_Dividends__GBP_,Value_With_Dividends__GBP_,Value_With_Dividends_Net_of_Tax__GBP_,Value_Without_Dividends__EUR_,Value_With_Dividends__EUR_,Value_With_Dividends_Net_of_Tax__EUR_,Value_Without_Dividends__AUD_,Value_With_Dividends__AUD_,Value_With_Dividends_Net_of_Tax__AUD_,Value_Without_Dividends__JPY_,Value_With_Dividends__JPY_,Value_With_Dividends_Net_of_Tax__JPY_
Russell RAFI Emerging Markets,12/29/2023,1045.069044,1711.242062,,1276.455204,2090.123946,,1235.842647,2023.623158,,1474.981225,2415.199193,,,,
Russell RAFI Emerging Markets,12/28/2023,1043.414739,1708.390605,,1272.239042,2083.046315,,1227.331107,2009.518223,,1464.704118,2398.170795,,,,
Russell RAFI Emerging Markets,12/27/2023,1032.522243,1690.523031,,1257.234872,2058.439439,,1214.573341,1988.590773,,1451.741361,2376.900084,,,,
Russell RAFI Emerging Markets,12/26/2023,1022.122574,1673.306606,,1252.653511,2050.706488,,1210.899750,1982.351825,,1445.985821,2367.208872,,,,
Russell RAFI Emerging Markets,12/25/2023,1016.438216,1663.875196,,1244.609511,2037.383936,,1205.696375,1973.684441,,1438.578189,2354.904142,,,,
Russell RAFI Emerging Markets,12/22/2023,1016.193767,1663.473415,,1244.310187,2036.891962,,1205.406409,1973.207848,,1438.232216,2354.335495,,,,
Russell RAFI Emerging Markets,12/21/2023,1017.301910,1664.657229,,1251.720944,2048.247721,,1209.191425,1978.654740,,1443.725772,2362.433923,,,,
Russell RAFI Emerging Markets,12/20/2023,1012.420474,1656.593389,,1244.436256,2036.233884,,1205.198666,1972.030588,,1439.874832,2356.024191,,,,
Russell RAFI Emerging Markets,12/19/2023,1015.016925,1660.242549,,1240.625192,2029.265404,,1206.859783,1974.036010,,1445.275012,2364.006953,,,,
Russell RAFI Emerging Markets,12/18/2023,1013.330259,1657.455709,,1247.968210,2041.241753,,1212.746870,1983.631896,,1457.962816,2384.719859,,,,
Russell RAFI Emerging Markets,12/15/2023,1016.352219,1662.368003,,1246.121148,2038.183107,,1216.307815,1989.419764,,1456.219161,2381.824029,,,,
Russell RAFI Emerging Markets,12/14/2023,1010.049490,1651.868111,,1232.473560,2015.627739,,1200.079622,1962.649630,,1451.832638,2374.374780,,,,
Russell RAFI Emerging Markets,12/13/2023,990.548034,1619.585196,,1231.354547,2013.313364,,1198.714892,1959.946239,,1448.776666,2368.807125,,,,
Russell RAFI Emerging Markets,12/12/2023,989.795356,1618.360777,,1226.794969,2005.866007,,1199.248312,1960.825960,,1453.082515,2375.856517,,,,
Russell RAFI Emerging Markets,12/11/2023,987.712215,1614.584304,,1225.432370,2003.178497,,1200.845419,1962.986927,,1449.140709,2368.867983,,,,
Russell RAFI Emerging Markets,12/08/2023,991.682826,1620.962718,,1230.947118,2012.053990,,1202.985716,1966.349468,,1449.995986,2370.101987,,,,
Russell RAFI Emerging Markets,12/07/2023,990.352912,1618.724170,,1226.265862,2004.322062,,1199.590062,1960.720673,,1446.953020,2365.033514,,,,
Russell RAFI Emerging Markets,12/06/2023,993.936744,1624.400884,,1228.846697,2008.316597,,1203.205877,1966.411547,,1454.616659,2377.294731,,,,
Russell RAFI Emerging Markets,12/05/2023,990.790295,1619.222377,,1223.159841,1998.977781,,1197.787475,1957.512393,,1453.989036,2376.215830,,,,
Russell RAFI Emerging Markets,12/04/2023,997.964704,1630.932822,,1232.212256,2013.753998,,1205.345278,1969.846397,,1452.784547,2374.226256,,,,
Russell RAFI Emerging Markets,12/01/2023,999.521014,1633.384652,,1231.935817,2013.189347,,1204.996717,1969.166348,,1450.555185,2370.449991,,,,
Russell RAFI Emerging Markets,11/30/2023,999.300456,1632.990272,,1229.085744,2008.490091,,1196.394536,1955.068295,,1451.438071,2371.843459,,,,
Russell RAFI Emerging Markets,11/29/2023,997.781290,1630.481448,,1223.544541,1999.402770,,1187.609651,1940.681313,,1451.201361,2371.418385,,,,
Russell RAFI Emerging Markets,11/28/2023,1000.478266,1634.824838,,1228.302786,2007.099976,,1190.169066,1944.787825,,1450.742005,2370.575299,,,,
Russell RAFI Emerging Markets,11/27/2023,994.436816,1624.948098,,1228.197165,2006.921522,,1188.175894,1941.525223,,1451.158551,2371.249023,,,,
Russell RAFI Emerging Markets,11/24/2023,997.535616,1629.913926,,1231.389507,2012.017288,,1191.115784,1946.212419,,1458.553685,2383.190058,,,,
Russell RAFI Emerging Markets,11/23/2023,1002.878832,1638.576884,,1245.390446,2034.810119,,1200.788736,1961.936578,,1471.953315,2404.985126,,,,
Russell RAFI Emerging Markets,11/22/2023,996.229227,1627.605681,,1244.877044,2033.838091,,1197.601925,1956.601598,,1468.235163,2398.753045,,,,
Russell RAFI Emerging Markets,11/21/2023,1001.267851,1632.952181,,1243.489078,2027.987017,,1196.173658,1950.821033,,1469.588833,2396.729593,,,,
Russell RAFI Emerging Markets,11/20/2023,999.061425,1628.888705,,1244.919303,2029.740055,,1192.992214,1945.077142,,1469.598006,2396.060475,,,,
Russell RAFI Emerging Markets,11/17/2023,990.482902,1614.589332,,1240.334344,2021.872963,,1188.397436,1937.210444,,1466.950050,2391.279948,,,,
Russell RAFI Emerging Markets,11/16/2023,994.045953,1620.366998,,1244.145793,2028.047875,,1193.768901,1945.929887,,1476.541476,2406.869693,,,,
Russell RAFI Emerging Markets,11/15/2023,994.759786,1621.445927,,1244.739058,2028.908993,,1195.945517,1949.376136,,1467.866578,2392.604042,,,,
Russell RAFI Emerging Markets,11/14/2023,975.511150,1589.991413,,1219.379403,1987.473724,,1175.834012,1916.498834,,1450.128470,2363.572998,,,,
Russell RAFI Emerging Markets,11/13/2023,965.671289,1573.941986,,1226.976861,1999.842409,,1179.978768,1923.240492,,1458.006512,2376.396287,,,,
Russell RAFI Emerging Markets,11/10/2023,960.495175,1565.474590,,1226.203683,1998.542793,,1175.853749,1916.479348,,1456.814864,2374.407194,,,,
Russell RAFI Emerging Markets,11/09/2023,967.066445,1575.823561,,1225.499408,1996.937076,,1178.926596,1921.047220,,1449.658430,2362.201605,,,,
Russell RAFI Emerging Markets,11/08/2023,968.884951,1578.640911,,1227.703960,2000.344516,,1182.136372,1926.099521,,1454.421899,2369.744633,,,,
Russell RAFI Emerging Markets,11/07/2023,969.954203,1580.351140,,1227.959595,2000.720591,,1185.822248,1932.066004,,1454.440036,2369.726284,,,,
Russell RAFI Emerging Markets,11/06/2023,976.043334,1590.231367,,1226.444409,1998.200594,,1186.658572,1933.378998,,1445.564396,2355.204698,,,,
Russell RAFI Emerging Markets,11/03/2023,966.201419,1574.122098,,1215.892857,1980.915965,,1175.896781,1915.754906,,1430.548075,2330.629301,,,,
Russell RAFI Emerging Markets,11/02/2023,950.174556,1547.881156,,1215.319834,1979.815875,,1168.915497,1904.220924,,1425.002460,2321.399201,,,,
Russell RAFI Emerging Markets,11/01/2023,936.342024,1525.265141,,1202.517034,1958.853994,,1160.753011,1890.822007,,1417.279236,2308.693360,,,,
Russell RAFI Emerging Markets,10/31/2023,933.904454,1521.237662,,1198.348702,1951.991095,,1154.171512,1880.030836,,1420.510799,2313.871100,,,,
Russell RAFI Emerging Markets,10/30/2023,938.218256,1528.215546,,1201.804154,1957.557082,,1154.098034,1879.851033,,1417.890652,2309.529285,,,,
Russell RAFI Emerging Markets,10/27/2023,941.832690,1534.076006,,1207.526778,1966.843873,,1162.979433,1894.284263,,1428.283911,2326.417527,,,,
Russell RAFI Emerging Markets,10/26/2023,933.897526,1521.142460,,1198.982062,1952.915040,,1157.118693,1884.727528,,1422.972455,2317.753031,,,,
Russell RAFI Emerging Markets,10/25/2023,937.252380,1526.604895,,1201.703822,1957.345723,,1156.503739,1883.723431,,1424.927984,2320.935195,,,,
