Index_Name,Date,Value_Without_Dividends__USD_,Value_With_Dividends__USD_,Value_With_Dividends_Net_of_Tax__USD_,Value_Without_Dividends__GBP_,Value_With_Dividends__GBP_,Value_With_Dividends_Net_of_Tax__GBP_,Value_Without_Dividends__EUR_,Value_With_Dividends__EUR_,Value_With_Dividends_Net_of_Tax__EUR_,Value_Without_Dividends__AUD_,Value_With_Dividends__AUD_,Value_With_Dividends_Net_of_Tax__AUD_,Value_Without_Dividends__JPY_,Value_With_Dividends__JPY_,Value_With_Dividends_Net_of_Tax__JPY_
Russell RAFI Global,12/29/2023,2192.365356,3223.189468,,2677.771563,3936.827899,,2592.573783,3811.571137,,3094.243156,4549.119482,,,,
Russell RAFI Global,12/28/2023,2196.909013,3229.759454,,2678.698426,3938.056385,,2584.144800,3799.049505,,3083.933511,4533.807888,,,,
Russell RAFI Global,12/27/2023,2191.341613,3220.419105,,2668.253504,3921.293928,,2577.712124,3788.233346,,3081.058329,4527.956320,,,,
Russell RAFI Global,12/26/2023,2178.877243,3201.065323,,2670.304224,3923.038014,,2581.296974,3792.274327,,3082.434219,4528.512709,,,,
Russell RAFI Global,12/25/2023,2170.555600,3188.822176,,2657.804577,3904.652880,,2574.707421,3782.572591,,3072.015488,4513.181377,,,,
Russell RAFI Global,12/22/2023,2170.579284,3188.856571,,2657.833578,3904.694996,,2574.735515,3782.613391,,3072.049008,4513.230057,,,,
Russell RAFI Global,12/21/2023,2163.573380,3178.424956,,2662.130177,3910.836151,,2571.679412,3777.958306,,3070.481452,4510.729779,,,,
Russell RAFI Global,12/20/2023,2152.482853,3161.912995,,2645.766034,3886.526665,,2562.343937,3763.982873,,3061.283297,4496.905249,,,,
Russell RAFI Global,12/19/2023,2163.874950,3178.268932,,2644.840404,3884.704192,,2572.857247,3778.976348,,3081.125364,4525.513373,,,,
Russell RAFI Global,12/18/2023,2148.158951,3155.070606,,2645.567974,3885.631345,,2570.902250,3775.967379,,3090.735567,4539.463403,,,,
Russell RAFI Global,12/15/2023,2151.683723,3160.217691,,2638.119484,3874.654892,,2575.002718,3781.954130,,3082.910635,4527.927884,,,,
Russell RAFI Global,12/14/2023,2155.352516,3165.480758,,2629.984979,3862.554633,,2560.859302,3761.032493,,3098.077034,4550.022869,,,,
Russell RAFI Global,12/13/2023,2119.204150,3111.698990,,2634.391847,3868.166476,,2564.561724,3765.632549,,3099.550367,4551.174433,,,,
Russell RAFI Global,12/12/2023,2101.798137,3086.095702,,2605.059080,3825.039850,,2546.564653,3739.151773,,3085.573298,4530.584706,,,,
Russell RAFI Global,12/11/2023,2100.358586,3083.613847,,2605.867742,3825.770470,,2553.583876,3749.010598,,3081.580933,4524.182538,,,,
Russell RAFI Global,12/08/2023,2096.443259,3077.804150,,2602.254190,3820.388989,,2543.143060,3733.607494,,3065.329189,4500.232886,,,,
Russell RAFI Global,12/07/2023,2093.050931,3072.738601,,2591.638672,3804.698715,,2535.260983,3721.932499,,3058.047622,4489.418212,,,,
Russell RAFI Global,12/06/2023,2086.259021,3062.373383,,2579.331653,3786.143773,,2525.511940,3707.143009,,3053.219577,4481.753354,,,,
Russell RAFI Global,12/05/2023,2081.050243,3054.623696,,2569.117903,3771.023045,,2515.825931,3692.799598,,3053.950219,4482.673464,,,,
Russell RAFI Global,12/04/2023,2090.620379,3068.544645,,2581.341849,3788.809669,,2525.058644,3706.199011,,3043.415233,4467.025964,,,,
Russell RAFI Global,12/01/2023,2095.042392,3074.846197,,2582.194597,3789.828439,,2525.728994,3706.955153,,3040.430930,4462.371511,,,,
Russell RAFI Global,11/30/2023,2081.846924,3055.372381,,2560.559601,3757.943486,,2492.453866,3657.989747,,3023.787156,4437.788224,,,,
Russell RAFI Global,11/29/2023,2075.195154,3044.884576,,2544.739742,3733.836201,,2470.002011,3624.175303,,3018.222592,4428.566344,,,,
Russell RAFI Global,11/28/2023,2074.616684,3043.655400,,2547.039290,3736.743250,,2467.964257,3620.732832,,3008.294802,4413.447937,,,,
Russell RAFI Global,11/27/2023,2067.930405,3033.799347,,2554.034827,3746.948723,,2470.810633,3624.852978,,3017.682815,4427.152932,,,,
Russell RAFI Global,11/24/2023,2073.568872,3042.004251,,2559.678982,3755.146235,,2475.962335,3632.330737,,3031.883243,4447.887813,,,,
Russell RAFI Global,11/23/2023,2067.765196,3033.374930,,2567.782803,3766.891907,,2475.821680,3631.986568,,3034.916818,4452.169234,,,,
Russell RAFI Global,11/22/2023,2062.490850,3025.144994,,2577.265796,3780.187788,,2479.392238,3636.632385,,3039.683544,4458.436002,,,,
Russell RAFI Global,11/21/2023,2064.450285,3027.329697,,2563.870775,3759.684694,,2466.314130,3616.626694,,3030.051430,4443.296477,,,,
Russell RAFI Global,11/20/2023,2068.688162,3033.358035,,2577.769255,3779.833628,,2470.247382,3622.172197,,3042.996078,4462.004845,,,,
Russell RAFI Global,11/17/2023,2058.711059,3018.113485,,2578.025351,3779.439102,,2470.074888,3621.181466,,3049.044345,4469.962803,,,,
Russell RAFI Global,11/16/2023,2045.777298,2999.040415,,2560.490498,3753.592580,,2456.813298,3601.605306,,3038.767997,4454.731238,,,,
Russell RAFI Global,11/15/2023,2053.078061,3008.580494,,2569.008607,3764.625091,,2468.303944,3617.052483,,3029.520001,4439.458466,,,,
Russell RAFI Global,11/14/2023,2034.832965,2981.678638,,2543.521316,3727.069152,,2452.689350,3593.971381,,3024.844168,4432.360491,,,,
Russell RAFI Global,11/13/2023,1994.445935,2921.797558,,2534.132514,3712.420608,,2437.065162,3570.220135,,3011.288825,4411.438876,,,,
Russell RAFI Global,11/10/2023,1990.740644,2916.092996,,2541.453175,3722.792230,,2437.096939,3569.928276,,3019.422313,4422.934893,,,,
Russell RAFI Global,11/09/2023,1987.726265,2911.375582,,2518.914157,3689.393907,,2423.187538,3549.185395,,2979.654760,4364.229756,,,,
Russell RAFI Global,11/08/2023,1987.614548,2910.396279,,2518.567607,3687.852758,,2425.088190,3550.974031,,2983.667074,4368.882065,,,,
Russell RAFI Global,11/07/2023,1995.628508,2922.051030,,2526.460700,3699.309296,,2439.765377,3572.367755,,2992.432002,4381.596565,,,,
Russell RAFI Global,11/06/2023,2010.799192,2944.207831,,2526.663869,3699.535776,,2444.698933,3579.522893,,2978.084701,4360.505181,,,,
Russell RAFI Global,11/03/2023,2004.310526,2934.502119,,2522.276209,3692.853370,,2439.307424,3571.379143,,2967.561946,4344.794237,,,,
Russell RAFI Global,11/02/2023,1978.466663,2896.385885,,2530.555846,3704.619526,,2433.932090,3563.166709,,2967.159922,4343.788184,,,,
Russell RAFI Global,11/01/2023,1942.372686,2843.315071,,2494.533174,3651.587473,,2407.896779,3524.766000,,2940.041571,4303.738706,,,,
Russell RAFI Global,10/31/2023,1926.549534,2820.108392,,2472.071017,3618.649870,,2380.937984,3485.248144,,2930.368740,4289.512067,,,,
Russell RAFI Global,10/30/2023,1923.913896,2815.802192,,2464.424133,3606.882247,,2366.597783,3463.705542,,2907.531922,4255.406012,,,,
Russell RAFI Global,10/27/2023,1912.593665,2799.003717,,2452.142604,3588.611836,,2361.679647,3456.222946,,2900.437401,4244.673199,,,,
Russell RAFI Global,10/26/2023,1914.954167,2802.392956,,2458.509239,3597.845366,,2372.668522,3472.223861,,2917.800890,4269.984526,,,,
Russell RAFI Global,10/25/2023,1928.641102,2822.361874,,2472.818884,3618.708391,,2379.807929,3482.596716,,2932.160789,4290.906593,,,,
Russell RAFI Global,10/24/2023,1938.733672,2836.943824,,2478.717324,3627.100464,,2389.440124,3496.461376,,2936.379490,4296.796294,,,,
Russell RAFI Global,10/23/2023,1932.486831,2827.757597,,2464.558314,3606.323927,,2374.906947,3475.139419,,2942.652984,4305.907392,,,,
Russell RAFI Global,10/20/2023,1942.055810,2841.727017,,2488.891418,3641.888120,,2395.908104,3505.829623,,2959.095455,4329.917531,,,,
Russell RAFI Global,10/19/2023,1961.623702,2870.289449,,2515.314849,3680.462090,,2424.628691,3547.768177,,2991.277231,4376.900352,,,,
Russell RAFI Global,10/18/2023,1982.270399,2900.224450,,2541.161507,3717.928058,,2457.123508,3594.973561,,3009.418980,4403.027213,,,,
Russell RAFI Global,10/17/2023,2001.767297,2928.709633,,2558.782052,3743.656746,,2472.375932,3617.239237,,3028.991142,4431.601790,,,,
Russell RAFI Global,10/16/2023,1993.251374,2916.229581,,2546.119773,3725.104568,,2468.158733,3611.043545,,3031.346475,4435.016263,,,,
Russell RAFI Global,10/13/2023,1983.235201,2901.507296,,2544.073992,3722.024119,,2466.511096,3608.548264,,3034.322158,4439.265639,,,,
Russell RAFI Global,10/12/2023,1998.778156,2924.226224,,2547.953805,3727.673985,,2473.595462,3618.887217,,3035.916285,4441.566459,,,,
Russell RAFI Global,10/11/2023,2006.487148,2935.194831,,2537.628610,3712.176472,,2467.241441,3609.210423,,3011.527878,4405.421223,,,,
Russell RAFI Global,10/10/2023,2000.144924,2925.815699,,2540.544358,3716.312993,,2465.476857,3606.504113,,3003.881460,4394.083364,,,,
Russell RAFI Global,10/09/2023,1974.549531,2888.358646,,2517.583513,3682.705343,,2445.928443,3577.888757,,2982.183565,4362.319380,,,,
Russell RAFI Global,10/06/2023,1965.326985,2874.745905,,2510.552973,3672.265191,,2436.121297,3563.391627,,2980.876574,4360.222390,,,,
Russell RAFI Global,10/05/2023,1953.213688,2856.369388,,2501.132452,3657.642898,,2422.945568,3543.302811,,2962.503935,4332.350118,,,,
Russell RAFI Global,10/04/2023,1945.383200,2844.523925,,2500.152319,3655.702942,,2421.971757,3541.387942,,2969.333108,4341.735380,,,,
Russell RAFI Global,10/03/2023,1955.655594,2859.450860,,2521.053256,3686.143882,,2438.711939,3565.748987,,2987.853653,4368.673464,,,,
Russell RAFI Global,10/02/2023,1982.988851,2899.223961,,2547.325661,3724.311201,,2467.731850,3607.941267,,2997.279818,4382.165567,,,,
Russell RAFI Global,09/29/2023,2002.344790,2927.419680,,2554.382535,3734.496548,,2470.519748,3611.889505,,2987.848724,4368.222297,,,,
Russell RAFI Global,09/28/2023,2004.616811,2930.612367,,2558.958192,3741.021468,,2479.059666,3624.215299,,3011.067045,4401.973621,,,,
Russell RAFI Global,09/27/2023,1998.861179,2917.713495,,2564.752737,3743.738560,,2484.052841,3625.941897,,3018.665009,4406.308816,,,,
Russell RAFI Global,09/26/2023,2001.950543,2922.084132,,2561.539766,3738.870938,,2470.850131,3606.498665,,3004.718908,4385.743431,,,,
Russell RAFI Global,09/25/2023,2023.111201,2952.619547,,2582.355167,3768.805363,,2498.501483,3646.425523,,3041.693314,4439.184131,,,,
