Index_Name,Date,Value_Without_Dividends__USD_,Value_With_Dividends__USD_,Value_With_Dividends_Net_of_Tax__USD_,Value_Without_Dividends__GBP_,Value_With_Dividends__GBP_,Value_With_Dividends_Net_of_Tax__GBP_,Value_Without_Dividends__EUR_,Value_With_Dividends__EUR_,Value_With_Dividends_Net_of_Tax__EUR_,Value_Without_Dividends__AUD_,Value_With_Dividends__AUD_,Value_With_Dividends_Net_of_Tax__AUD_,Value_Without_Dividends__JPY_,Value_With_Dividends__JPY_,Value_With_Dividends_Net_of_Tax__JPY_
Russell RAFI Developed ex-US,12/29/2023,1543.299237,2402.197314,,1884.997315,2934.061896,,1825.022973,2840.709811,,2178.169386,3390.394113,,,,
Russell RAFI Developed ex-US,12/28/2023,1545.225812,2405.196092,,1884.098943,2932.663550,,1817.593365,2829.145375,,2169.126547,3376.318629,,,,
Russell RAFI Developed ex-US,12/27/2023,1540.962633,2397.155569,,1876.329514,2918.859711,,1812.660353,2819.814554,,2166.615979,3370.435759,,,,
Russell RAFI Developed ex-US,12/26/2023,1525.705037,2371.794780,,1869.814657,2906.732649,,1807.489525,2809.844707,,2158.398518,3355.352585,,,,
Russell RAFI Developed ex-US,12/25/2023,1524.264334,2369.554508,,1866.433057,2901.475003,,1808.078398,2810.759409,,2157.311079,3353.661222,,,,
Russell RAFI Developed ex-US,12/22/2023,1524.398311,2369.762676,,1866.597109,2901.729900,,1808.237321,2811.006337,,2157.500697,3353.955845,,,,
Russell RAFI Developed ex-US,12/21/2023,1517.326149,2358.768603,,1866.966827,2902.304648,,1803.533198,2803.693514,,2153.345867,3347.496929,,,,
Russell RAFI Developed ex-US,12/20/2023,1518.195991,2359.781612,,1866.120039,2900.571323,,1807.280503,2809.115110,,2159.193985,3356.105729,,,,
Russell RAFI Developed ex-US,12/19/2023,1510.858539,2348.310692,,1846.677743,2870.270762,,1796.417737,2792.152191,,2151.300179,3343.742039,,,,
Russell RAFI Developed ex-US,12/18/2023,1500.403263,2332.049213,,1847.823607,2872.038268,,1795.672580,2790.980885,,2158.755397,3355.313835,,,,
Russell RAFI Developed ex-US,12/15/2023,1508.788790,2345.076940,,1849.883912,2875.233520,,1805.625610,2806.443823,,2161.777289,3360.002476,,,,
Russell RAFI Developed ex-US,12/14/2023,1511.263646,2348.923554,,1844.060616,2866.182501,,1795.591922,2790.848684,,2172.271663,3376.313648,,,,
Russell RAFI Developed ex-US,12/13/2023,1477.739858,2296.507055,,1836.984810,2854.797855,,1788.291646,2779.125406,,2161.343974,3358.873795,,,,
Russell RAFI Developed ex-US,12/12/2023,1476.811336,2295.063907,,1830.423537,2844.600995,,1789.322904,2780.727853,,2168.052937,3369.299737,,,,
Russell RAFI Developed ex-US,12/11/2023,1476.443697,2294.126248,,1831.790547,2846.270931,,1795.037687,2789.163639,,2166.192371,3365.870834,,,,
Russell RAFI Developed ex-US,12/08/2023,1476.853457,2294.743898,,1833.175345,2848.399019,,1791.534115,2783.696622,,2159.391622,3355.275856,,,,
Russell RAFI Developed ex-US,12/07/2023,1478.511899,2297.290984,,1830.709687,2844.530950,,1790.885006,2782.651922,,2160.176673,3356.452117,,,,
Russell RAFI Developed ex-US,12/06/2023,1477.023497,2294.859963,,1826.107602,2837.233959,,1788.004481,2778.032919,,2161.609374,3358.505005,,,,
Russell RAFI Developed ex-US,12/05/2023,1465.624115,2277.058098,,1809.356197,2811.095380,,1771.824186,2752.783997,,2150.809718,3341.592591,,,,
Russell RAFI Developed ex-US,12/04/2023,1469.821728,2283.560666,,1814.826056,2819.570100,,1775.255851,2758.092601,,2139.689195,3324.287559,,,,
Russell RAFI Developed ex-US,12/01/2023,1474.782261,2291.001075,,1817.707748,2823.718805,,1777.959401,2761.971721,,2140.278221,3324.816031,,,,
Russell RAFI Developed ex-US,11/30/2023,1470.272118,2283.985639,,1808.355526,2809.179334,,1760.256906,2734.460814,,2135.502805,3317.384366,,,,
Russell RAFI Developed ex-US,11/29/2023,1469.491632,2282.547999,,1801.986550,2799.009334,,1749.063108,2716.803833,,2137.270239,3319.802441,,,,
Russell RAFI Developed ex-US,11/28/2023,1468.965106,2281.623575,,1803.471393,2801.184882,,1747.481067,2714.219680,,2130.070643,3308.464834,,,,
Russell RAFI Developed ex-US,11/27/2023,1460.600351,2268.566727,,1803.940866,2801.834343,,1745.158769,2710.535508,,2131.420173,3310.466741,,,,
Russell RAFI Developed ex-US,11/24/2023,1464.620955,2274.803360,,1807.974419,2808.089197,,1748.842958,2716.248067,,2141.505784,3326.119659,,,,
